SITE,NAME,TYPE,TEAM,URL,DESCRIPTION,OWNER,STATUS,LATEST STATUS UPDATE TITLE,LATEST STATUS UPDATE,POSTED BY,POSTED ON,OVERDUE TASKS,COMPLETED TASKS,INCOMPLETE TASKS,PROGRESS,START DATE,DUE DATE,CONNECTED GOALS,Priority,Customer
413,Monogram - Harlan - Food Safety Assessment - Action Plan,Project,QSI,https://app.asana.com/1/104183267396283/project/1213613461547485,,April Englishbey,On track,Monogram - Harlan - Action Plan Update - 3/22,"'----------------------------------------  Summary  The food safety improvement initiative achieved significant traction on March 22, 2026, with the team completing 19 previously overdue tasks and 4 major milestones, directly addressing the execution gap identified in the previous status report. Only 1 task remains in progress with 1 milestone pending completion, positioning the project well for the March 31, 2026 target.  Key accomplishments include:     Completed 4 of 5 major milestones: ✓ O-06: QSI Portal Review & Alignment, ✓ O-01: Improve First Rinse , ✓ O-02: Improve Scrubbing, and ✓ O-05: Improve Final Rinse to reduce overspray findings     Resolved all 16 previously overdue tasks through status updates and completions     @Brittney Johnson provided progress update on Cross train to cover call in's for Slice and Microwave/Ovens, confirming work is ongoing     Completed critical tasks including ✓ Portal Metric Summary for last 30 days, ✓ Review Contract Times for Accuracy, and ✓ Evaluate time available and staffing per area      All training, process control, and staffing tasks previously flagged as overdue are now complete  ----------------------------------------  Tasks Updated Today  On March 22, 2026, the team made substantial progress by updating and completing nearly all outstanding tasks. @Brittney Johnson commented on the one remaining active task, providing transparency on its status.  Tasks with activity on March 22, 2026:     Cross train to cover call in's for Slice and Microwave/Ovens: @Brittney Johnson commented ""Still in progress"" at 8:45 PM, due March 27, 2026     Completed 19 tasks across all assignees, including all previously overdue items assigned to @Jorge Mendoza , @Brian Domingo, @Jason Rowe, and @Brandy Sweeny     All staffing and operational tasks assigned to @Brittney Johnson marked complete except cross-training initiative     All process control and training tasks completed, resolving previous concerns about accountability  ----------------------------------------  Remaining Tasks to Complete  With the significant progress made, only 2 items remain to achieve full project completion by March 31, 2026. Both are on track for timely completion.  Outstanding items:     Cross train to cover call in's for Slice and Microwave/Ovens assigned to @Brittney Johnson, due March 27, 2026 - actively in progress per latest update     O-04: Ensure Site is properly staffed and Trained to ensure performance milestone assigned to @Levi Christenberry, due March 31, 2026 - dependent on completion of cross-training task  ----------------------------------------   ",April Englishbey,3/22/2026,0,28,3,90%,3/9/2026,4/10/2026,,Medium,Monogram
407,Monogram - Bristol - Action Plan,Project,QSI,https://app.asana.com/1/104183267396283/project/1213558102442689,,April Englishbey,On track,Monogram - Bristol - Action Plan Update 3/22,"'----------------------------------------  Summary  The project has made substantial progress with 6 tasks completed since the last update, bringing total completions to 13 of 17 tasks. Only 2 tasks remain incomplete, with one requiring a response to recent comments.  Key accomplishments include:     Completed ✓ Self Inspection - Post-Rinse on Mar 22 for improved documentation and retraining     Finished ✓ Final Rinse Improvement on Mar 17 with nozzle evaluation     Delivered ✓ Employee Training Assessment by Area on Mar 16 with training phase documentation     Completed ✓ Water Updates on Mar 22 regarding plant action items     Finished ✓ Water System Update on Mar 17 for raw areas booster pump details     Completed ✓ Chemical Schedule Review on Mar 16 to establish consistent schedule  In-Progress item requiring response:      Chemical Trial  : @April Englishbey commented on Mar 22 requesting @Jeffrey Sam Barahona and @Leo Sanchez provide updates on APC results after implementing the single variable change (boosting detergent KChlor with Dynachlor). Due Mar 27.  Upcoming milestone:     Ops Management Audit (Unannounced) Bristol scheduled for Mar 23-27  ----------------------------------------   ",April Englishbey,3/22/2026,0,15,2,88%,3/5/2026,4/9/2026,,High,Monogram
37,Smithfield - Tar Heel - Action Plan,Project,QSI,https://app.asana.com/1/104183267396283/project/1213432574384059,,April Englishbey,On track,Smithfield - Tar Heel - Action Plan Update 3/22,"'----------------------------------------  Summary  The operational improvement program has made significant progress with 5 tasks completed since the last update. All previously identified blockers have been resolved, and only one task remains in progress.  Key accomplishments include:      ✓ Validation of Chemical Change - Completed March 16, finalizing A-B test documentation     ✓ Replace Doors  - Completed March 22, resolving plant infrastructure delays     ✓ Add Lighting - Completed March 22, closing out plant engineering coordination     ✓ Food Safety Assessment Audit #1 - Completed March 20 with @Ryan Culler on site     ✓ QSI Finding Classification Update - Completed March 22, addressing finding classification accuracy  Remaining work:      Verification of Chemical Change - In progress, due April 3, assigned to @Edgardo Lara for ongoing verification using production preop duration data and USDA tag reduction analysis  ---------------------------------------- ",April Englishbey,3/22/2026,0,12,1,92%,2/27/2026,3/31/2026,,Medium,Smithfield
376,Coastal Processing - Louisville - Action Plan,Project,QSI,https://app.asana.com/1/104183267396283/project/1213432059828457,,April Englishbey,On track,Coastal Processing - Louisville - Action Plan Update - 3/22,"'----------------------------------------  Summary  The project has achieved significant progress since the last update, with 5 additional tasks completed and the critical data blocker resolved. The Short Term Stabilization phase is nearing completion with 7 of 8 tasks now finished.  Key points include:     Data blocker resolved: ✓ High APC Root Cause completed on March 16 by @Melody Thompson     Four critical tasks completed on March 22: ✓ Management Support / Task Knowledge Transfer by @Glen Jones, ✓ BRC Audit Prep Visit and ✓ Food Safety Assessment #2 by @Andrew Flournoy, and ✓ Ops Audit #2 by @Tracy Kemp     Microbial Reduction Plan progressing with micro data received on March 20; @Ryan Culler actively compiling analysis with support offered by @April Englishbey; due date extended to March 27     OUTCOME - 30 Day Progress Report w/Metrics due March 25 to document phase completion and transition to Structural Improvements  ----------------------------------------   ",April Englishbey,3/22/2026,0,18,8,69%,2/25/2026,5/29/2026,,High,Coastal Processing
416,AFG - Skylark Meats - Action Plan,Project,QSI,https://app.asana.com/1/104183267396283/project/1213410361418350,"Root Problem - customer's expectations of communication were not defined Root Failure - site team did not meet those communication expectations and now small problem is a big problem  Strategies = communication improvement, reduce preop and swab findings, and process evaluations/improvements",April Englishbey,On track,Process Improvements Completed; Second Food Safety Audit Scheduled for This Week,"'----------------------------------------  Summary  Two critical process improvement tasks were completed on March 16, addressing key findings from the first food safety audit. The second audit is being scheduled as planned.  Key points include:      ✓ QSI FS#1 - Leads and site manager to conduct pre-op. completed by @Brittney Johnson on March 16, establishing documented coaching and new pre-op processes     ✓ QSI FS#1 - Proper Chemical Labeling completed by @Brittney Johnson on March 16, implementing Greasex tags that arrived     @Brian Domingo confirmed on March 16 that Food Safety Audit #2 will be scheduled for the week of March 22 in response to @April Englishbey's request  ----------------------------------------  Next steps       Food Safety Audit #2 for this week (week of March 22) as an unannounced verification visit, due March 27  ----------------------------------------   ",April Englishbey,3/22/2026,0,19,2,90%,2/23/2026,3/27/2026,,Medium,AFG 
317,Bachoco - Plant 2 - Action Plan,Project,QSI,https://app.asana.com/1/104183267396283/project/1213385882731408,"    GMP, Release on time, no chicken, no positives  This project addresses structural, procedural, behavioral, and environmental risks identified across clean room operations, infrastructure, sanitation processes, GMP compliance, and environmental monitoring systems. Initial assessment revealed a combination of:     Open infrastructure risks (penetrations, caulking, drain integrity)     Inconsistent sanitation execution     Environmental monitoring gaps     GMP compliance variability     Training system deficiencies     Backlog of legacy corrective actions To stabilize operations and reduce contamination and compliance risk, the strategy is organized into seven structured workstreams:     Clean Room Controls Stabilization     Infrastructure Integrity Restoration     GMP & Behavioral Compliance Reinforcement     Environmental Monitoring Optimization     Sanitation Process Standardization     Training & Competency System Strengthening     Backlog Elimination Progress is tracked at both task-level execution and milestone-level stabilization to ensure systemic risk reduction rather than isolated task closure. The objective is to transition from reactive corrective actions to a controlled, standardized, and auditable operating state across all high-risk areas.",April Englishbey,At risk,Bachoco - Plant 2 - Action Plan Update 3/22,"'----------------------------------------  Summary  The project shows no task completions during this reporting period (Mar 16-23, 2026), with stakeholder engagement continuing on overdue items. All tasks across departments remain incomplete with multiple items significantly overdue. Key points include:     No tasks completed during this reporting period     All previously identified overdue tasks remain incomplete with no progress updates     External dependencies continue to block Environmental Monitoring tasks requiring scissor lift equipment  ----------------------------------------  Backlogged Items by Category  Multiple departments have overdue tasks requiring immediate attention. The following summarizes delayed items by category:  Training & Competency (5 overdue tasks):      Lab and QA - Overdue since Feb 27 2026, unassigned     Training program review - Overdue since Feb 27 2026, unassigned     Training for releasing process - Overdue since Mar 2 2026, unassigned     Plant New hires - Overdue since Feb 27 2026, unassigned     QA & Maintenance - Overdue since Mar 2 2026, unassigned  GMP & Behavioral Compliance (4 overdue tasks):      Improper storage of floor squeegee - Overdue since Mar 9 2026, unassigned     Sensitive Equipment   - Overdue since Mar 6 2026, unassigned     Check Air Flow - Overdue since Mar 13 2026, pending contractor availability     Use of Tape in RTE - Overdue since Mar 13 2026, unassigned  Environmental Controls (4 overdue tasks):      Quat Rings in Air Unit Drip pans - Overdue since Feb 27 2026, unassigned     Dedicated shoe covers for Production Employees - Overdue since Mar 9 2026, unassigned     Light Covers Cracked - Overdue since Feb 21 2026, unassigned     Light cover with green growth inside  - Overdue since Feb 21 2026, unassigned  Infrastructure & Facility Corrections (3 overdue tasks):      Line 5 Top freezer. Hard to get it cleaned - Overdue since Mar 2 2026, unassigned     Temporary Wall - Overdue since Mar 2 2026, unassigned     Fix Overheads - Overdue since Mar 16 2026, unassigned  Sanitation Process Standardization (2 overdue tasks):      No Use of Water During Preop - Overdue since Mar 13 2026, assigned to @Levi Christenberry, follow-up comment added Mar 16 2026     Order Wall Foamers - Overdue since Mar 13 2026, pending quote  Environmental Monitoring & Swab Program (1 overdue task):      Increase swabs sites - Overdue since Feb 23 2026, unassigned     Note: Three additional tasks due Apr 1 2026 remain blocked by scissor lift dependency  ----------------------------------------   ",April Englishbey,3/22/2026,44,61,48,56%,2/2/2026,4/30/2026,,High,Bachoco / OK Foods
183,Sioux City - Action Plan - Jan-Mar,Project,QSI,https://app.asana.com/1/104183267396283/project/1212860852547824,Action plan to address preop and swab KPI results in Sioux City. ,April Englishbey,Complete,Sioux City - Action Plan - Complete!,"All Task Completed 🥳 GREAT JOB TEAM!   Now that the food safety assessment is completed and the plant is in outstanding shape, we can close out this action plan 😊  Thank you for all the participation using the system and we found some small improvements that made the site team even better along the way!   Thanks - April  ",April Englishbey,2/12/2026,0,19,0,100%,1/1/2026,3/31/2026,,,Perdue
111,Rockingham - Action Plan - Jan-Mar,Project,QSI,https://app.asana.com/1/104183267396283/project/1212926250534393,"QSI Sanitation has taken several steps to improve the process of delivering a clean and on time facility at Rockingham, with the goal of passing a USDA preop. This improvement plan will be rolled out and conducted over the next 60 days and focus on 1st processing, thin slice, and Ground Chicken areas. After this period, QSI will reassess performance to determine if additional actions are necessary.",April Englishbey,Complete,Rockingham - Closing Action Plan,Summary Rockingham - Action Plan - Jan-Mar has been marked as Complete.  Closing this action plan since a formal plan is not needed at this time. If additional support following a food safety assessment is needed please contact April to re-establish a plan.   All action plans require a weekly meeting cadence until improvements and tasks are showing progress.   KEEP UP THE GREAT WORK! ,April Englishbey,2/12/2026,0,28,0,100%,1/1/2026,3/31/2026,,,Perdue
63,Perry Harvest - Action Plan - Jan-Mar,Project,QSI,https://app.asana.com/1/104183267396283/project/1212926238098231,Perry Harvest action plan triggered by being below Perdue KPI metrics for overall KPI and QA Preop Pass Rate,April Englishbey,Complete,Perry Harvest - Action Plan - Complete 3/16,"'----------------------------------------  Summary  The Preop Pass Rate Improvement Action Plan has been successfully completed, achieving the primary goal of improving the Preop Pass Rate to above 92%. The project spanned approximately three months (January through March 2026), implementing a comprehensive four-strategy approach including Gap Analysis, Process Changes, Metric Reporting, and Admin Updates.   **With the action plan complete, ownership of maintaining and continuous improvement will now transfer to the local and operations management team led by @Mario Colindres  and @Randall Barbee.  **The team will utilize the QSI and Perdue portals for ongoing data tracking and KPI monitoring to sustain performance gains and drive further improvements.  Key accomplishments include:     Completed all 38 action plan tasks across four strategic areas with 100% completion rate     Successfully implemented ✓ Operations Management Changes with new Area Manager Mario Colindres and Site Manager Jerome Lockhart     Established robust metric tracking systems including ✓ Provide access to Perdue Portal to Management Team completed March 15, 2026     Implemented critical process improvements such as ✓ Develop Belt Rotation Program and ✓ Drain Management Verification of MSS w/Pictures     Enhanced communication protocols through ✓ Improvement of Communication of Program Changes with QA/USDA to rebuild trust with quality oversight teams  ----------------------------------------  Action Plan Tracking  The project successfully addressed systemic issues identified in Areas 3 and 6, which were the main contributors to preop failures over the previous 18 months.  Strategy completion highlights:     Gap Analysis (12 tasks completed): Comprehensive assessments including ✓ Food Safety Assessment #2 and ✓ Operations Management Assessment #2 validated improvements, with ✓ Dry Pickup Time Impact Review with Production and ✓ Verify Foam Concentration and Application Dwell Time  addressing critical cleaning process gaps     Process Changes (14 tasks completed): Implemented transformative changes including ✓ First Rinse Pre-Foam Inspection for Debone and DSI areas, ✓ Detergent Application Correct Coverage w/Employees by Area, and ✓ Implement W/E preop forms to Food Safety completed February 26, 2026     Metric Reporting (8 tasks completed): Established comprehensive tracking systems including ✓ Track Self Inspection Improvement w/QSI Major Findings Rates and ✓ Track Hand Scrubbing Implementation w/Minor Findings & ATP, with ✓ Last 6 Week of QSI Portal Data - Perry Harvest  completed March 14, 2026     Admin Updates (3 tasks completed): Finalized administrative infrastructure including ✓ Update Chemical Concentration & Dwell Time and ✓ Update Chemical Titration Logs to support sustained performance  ----------------------------------------   ",April Englishbey,3/16/2026,0,37,0,100%,1/1/2026,3/31/2026,,,Perdue
80,Bridgewater - Action Plan - Jan-Mar,Project,QSI,https://app.asana.com/1/104183267396283/project/1213198214397803,,April Englishbey,Complete,Bridgewater - Listeria Action Plan Successfully Completed - Transition to Ongoing Maintenance Through KPI Portal Tracking - 3/16,"'----------------------------------------  Summary  All action plan strategies developed in response to escalating Listeria presumptive results have been successfully completed. The project has transitioned from active intervention to ongoing maintenance, with ownership of continuous improvements now transferred to local plant and ops/food safety management teams who will utilize QSI and Perdue KPI portals for metrics tracking and sustained performance monitoring.  Key accomplishments include:     Completion of all tasks across 5 strategic areas: Gap Analysis, Data/Documentation Updates, Hygienic Resets, Communication Paths, and Knowledge Sharing     Final tasks completed by late February through mid-March 2026, including ✓ Master Sanitation Updates, ✓ Procedure Corrections for Knockouts and Powerpacks, and ✓ Hand Scrubbing Reinforcement      Establishment of sustainable monitoring systems through QSI and Perdue KPI portals to maintain improvements without ongoing project-level oversight     Successful knowledge transfer documented through ✓ Provide Listeria Traceback Investigations and ✓ Ongoing Plant Projects for continuous reference by local teams  ----------------------------------------  Strategies and Tasks  All five strategic initiatives have been fully executed with ownership now residing with plant operations and food safety teams for ongoing maintenance. The transition to business-as-usual operations is supported by established KPI tracking systems that will monitor sustained performance.  Completed strategic deliverables include: Gap Analysis: All assessment and procedural updates finalized by late February, including ✓ Develop Cleaning Procedure for Product Outfeed on Aerofreeze, ✓ Master Sanitation Updates with digital MSS running in parallel starting March 1, ✓ Hand Scrubbing Reinforcement  completed March 13, ✓ Evaluate Bead Version of Floor Powder completed February 27, and ✓ Procedure Corrections for Knockouts and Powerpacks finalized February 27.  Hygienic Resets: All preventive treatments and procedure realignments completed, including ✓ Investigate Vital Oxide w/ CIO2 - Fins to Descale & Breaded Packout/Freezer, ✓ CDG 3000 Treatment on Freezer completed February 18, ✓ Realign and Document Hyperclean Procedures completed February 27, and ✓ Re-Implement Preventive Listeria Treatments completed March 3.  Communication Paths: All escalation protocols established by mid-February, including ✓ Develop Escalation Path for Equipment Breakdowns, ✓ Develop Escalation Path for QA Support from QSI Ops, and ✓ Develop Escalation Path for Listeria Presumptives.  Data/Documentation Updates: ✓ Analyze Swab Results - Separate Plant vs QSI Cleaned  completed February 13, providing baseline data for ongoing portal-based tracking.    ----------------------------------------   ",April Englishbey,3/16/2026,0,23,0,100%,1/1/2026,3/31/2026,,,Perdue
182,Georgetown - Action Plan - Jan-Mar,Project,QSI,https://app.asana.com/1/104183267396283/project/1212820803745642,Improvement plan for Perdue Georgetown from Q3 Total KPI results being below 92%,April Englishbey,Complete,Georgetown - Action Plan Archived 🥳,ACTION PLAN COMPLETE!  https://app.asana.com/app/asana/-/get_asset?asset_id=1213432574384125    ,April Englishbey,2/27/2026,0,20,0,100%,1/7/2026,3/31/2026,,,Perdue
197,Milford - Action Plan - Jan-Mar,Project,QSI,https://app.asana.com/1/104183267396283/project/1212719125723296,Improvement plan for Perdue Milford from Q3 Total KPI results being below 92%.,April Englishbey,Complete,Milford - Project Successfully Completed: Action Plan Closed with Strong Foundation for Sustained Quality Improvement,"'----------------------------------------  KPI and Metric Summary  The team has successfully completed all remaining project tasks and achieved the critical milestone, demonstrating exceptional dedication and hard work. Congratulations to everyone involved for their commitment to excellence throughout this initiative.  ----------------------------------------  Findings - USDA and QSI  The project has successfully established improved processes and clearer ownership structures that will support ongoing quality and compliance efforts. These foundational improvements position the team for sustained success moving forward. Key outcomes include:     Enhanced documentation standards and process improvements now in place     Clearer ownership of Non-Routine documentation processes established with Quality Assurance     Improved communication protocols reducing back-and-forth between departments     Standardized start times, release times, and nozzle specifications across operations  ----------------------------------------  Next Steps  Although the action plan is being closed out, the goal is to continue to improve and hold each other accountable to the standards that have been built throughout this process.  The team's hard work has established a strong foundation for ongoing excellence. Next steps include:     Transitioning the action plan to a sustain category for operations and food safety to manage through existing weekly calls     Continuing weekly meetings between QSI and Plant Leadership with a focus on fine-tuning processes and partnership     Maintaining accountability to the quality standards and documentation processes established during this initiative     Leveraging the improved communication protocols and ownership structures for continuous improvement  ----------------------------------------   ",April Englishbey,3/10/2026,0,31,0,100%,1/7/2026,3/31/2026,,,Perdue
